1327421691|danny|37.7772756174|-122.398205781|unclejoey|37.7773704477|-122.398240322
1327520371|unclejoey|37.7775750769|-122.398237705|danny|37.7764420479|-122.398348081
1327617196|unclejoey|37.7771600351|-122.398277562|danny|37.7772015732|-122.398203786
1327872265|dj|37.7701035295|-122.399530468|danny|37.7704953799|-122.400046678
1327946586|danny|37.7774642478|-122.398157324|unclejoey|37.7774870622|-122.398377739
1327992660|danny|37.7748385017|-122.393757915|dj|37.7749563208|-122.393894241
1328043508|danny|37.7773509172|-122.398267872|unclejoey|37.7772302827|-122.398337006
1328091088|dj|37.7750736664|-122.39384978|danny|37.7750172901|-122.393805266
1328146518|unclejoey|37.7774411771|-122.398088479|danny|37.7775248552|-122.398144004
1328313269|unclejoey|37.7772842694|-122.398264694|danny|37.7773707274|-122.398155089
1328352578|danny|37.7750426387|-122.393824353|dj|37.7751856297|-122.393955304
1328443893|danny|37.7750054054|-122.393794994|dj|37.7751260009|-122.393837287
1328560065|unclejoey|37.7773246213|-122.398156992|danny|37.7772997906|-122.398176312
1328648636|unclejoey|37.7773201421|-122.39818038|danny|37.7772680443|-122.398079021
1328672140|dj|37.7750148|-122.393799456|danny|37.7750358959|-122.393777894
1328741847|danny|37.7773222886|-122.398170961|unclejoey|37.7773094738|-122.398201765
1328769793|dj|37.7746972231|-122.393695285|danny|37.7746732494|-122.393710745
1328838462|danny|37.7773233049|-122.398090039|unclejoey|37.7773949586|-122.398161377
1328987666|danny|37.7758283605|-122.393389349|dj|37.7757912304|-122.393561534
1329076362|danny|37.7750528225|-122.393868682|dj|37.7751220525|-122.393873798
1329173436|danny|37.7773694294|-122.398217127|unclejoey|37.7773269429|-122.398240063
1329198735|danny|37.7749420267|-122.393753036|dj|37.7749325397|-122.39384038
1329264594|danny|37.7780781241|-122.396916992|unclejoey|37.7773037459|-122.398193781
1329360356|unclejoey|37.7785722687|-122.397160883|danny|37.777651275|-122.397351645
1329372493|dj|37.7748934411|-122.393929501|danny|37.7749330617|-122.393877949
1329549273|dj|37.7736675805|-122.408007158|danny|37.7736335528|-122.408221519
1329636498|dj|37.783665359|-122.38836514|danny|37.7836188302|-122.388154229
1329814956|danny|37.7750674393|-122.393838795|dj|37.7749632745|-122.393788222
1329874346|unclejoey|37.7775537307|-122.398243334|danny|37.7781349564|-122.397018181
1330030539|danny|37.7774110617|-122.3983746|unclejoey|37.7773567953|-122.398214065
1330129732|danny|37.777415862|-122.398157349|unclejoey|37.7772522878|-122.397852239
1330224612|dj|39.1433769652|-120.157762382|danny|39.1438012366|-120.157751419
1330371773|danny|37.7773728627|-122.398188976|unclejoey|37.7773507604|-122.398195349
1330460671|unclejoey|37.7774155867|-122.39816547|danny|37.7774644954|-122.39808857
1330985421|danny|37.7773217299|-122.398202084|unclejoey|37.7774178255|-122.398182961
1331151397|danny|37.7773928058|-122.39808832|unclejoey|37.7772479596|-122.398304594
1331186648|dj|37.7749970738|-122.393880347|danny|37.7750446165|-122.393826931
1331256822|danny|30.2695081477|-97.7404515943|unclejesse|30.2695973486|-97.7408645497
1331257331|danny|30.2696416256|-97.7408784975|unclejoey|30.2693889958|-97.7405028683
1331299480|unclejesse|30.2599755064|-97.7171327005|unclejoey|30.2604603811|-97.7169422988
1331371325|danny|30.2695879975|-97.7408320263|unclejesse|30.2696314994|-97.7409543055
1331402060|unclejesse|30.2659663093|-97.7386010719|unclejoey|30.2650586392|-97.738653107
1331440949|danny|30.2641966738|-97.7415253391|unclejoey|30.2643752811|-97.7413728868
1331486586|danny|30.26960407|-97.740823193|unclejesse|30.26958034|-97.74088903
1331509140|unclejesse|30.26502016|-97.7388654371|unclejoey|30.2654259749|-97.7400998755
1331610521|unclejesse|30.2666076028|-97.7448449831|unclejoey|30.2674841541|-97.7453332421
1331624152|danny|30.2696013509|-97.740820798|unclejesse|30.2695797173|-97.7408360252
1331706787|unclejoey|30.2673478076|-97.7403023272|unclejesse|30.2673490245|-97.7401501023
1331711767|unclejoey|30.266684056|-97.7368196701|danny|30.266683105|-97.7368860074
1331741070|unclejesse|30.2696067265|-97.7409073378|danny|30.2696214596|-97.7408351556
1331791404|danny|37.7749780229|-122.393734522|dj|37.7749529905|-122.393770454
1331909129|dj|37.7747117482|-122.393434572|danny|37.7750313542|-122.393754493
1331998116|dj|37.7751005481|-122.393857013|danny|37.7750684101|-122.393771762
1332029026|unclejoey|37.8007946556|-122.438625937|unclejesse|37.8006682749|-122.438531502
1332092783|dj|37.7757719966|-122.393413446|danny|37.7758189038|-122.393426958
1332213350|danny|37.7974678623|-122.396699069|dj|37.7973278591|-122.397034745
1332280865|unclejoey|37.7772934343|-122.39810806|danny|37.7773707826|-122.398194904
1332472631|dj|37.7749145755|-122.393887592|danny|37.7749936812|-122.393720475
1332565082|dj|37.7755945347|-122.40623432|danny|37.7754884658|-122.406319303
1332572690|unclejesse|37.8002441915|-122.440318226|unclejoey|37.8003022775|-122.44018472
1332600374|unclejoey|37.7868836063|-122.404498575|danny|37.7866516316|-122.404748748
1332715542|dj|37.7827076293|-122.401837135|danny|37.782806363|-122.401729217
1332788741|danny|37.7773075979|-122.398208525|unclejoey|37.7773070679|-122.398203589
1332885307|danny|37.777283304|-122.398202914|unclejoey|37.7773070311|-122.398206892
1332900464|unclejoey|37.8006180459|-122.438423489|unclejesse|37.800634176|-122.438461592
1332902224|dj|37.794890741|-122.395754854|danny|37.7949706064|-122.39574782
1332989998|danny|37.7767125394|-122.394272416|dj|37.7766991434|-122.394305316
